id,title,companyName,listingDate,locations,salaryLabel,teaser
84941240,Terminal Planning Analyst II 二級碼頭規劃分析主任 (Fresh graduate also welcome),Modern Terminals Ltd,2025-06-16T04:28:41Z,"Kwai Chung, Kwai Tsing District",,The job holder's major responsibility is to participate in terminal development and define the medium to long term terminal upgrade.
85264766,IT Business Analyst,Hang Lung Properties Limited,2025-06-30T07:15:45Z,"Mong Kok, Yau Tsim Mong District",,"Manage vendors to design and develop CRM and digital solutions, and provide on-going maintenance to digital platforms"
85248901,(Senior) Business Analyst,Hong Kong Telecom,2025-06-29T23:25:26Z,"Quarry Bay, Eastern District",,Strong Data and Customer Segment Analysis skill to recommend business activities to increase consumption across different kind of products
84901135,Senior Analyst Programmer / Analyst Programmer,Skechers,2025-06-13T06:41:53Z,Kwun Tong District,,"5 Days Work Week,
Flexi Working Hours,
Annual Leave / Birthday Leave / Marriage Leave,
Medical Scheme,
Staff Purchase Discount"
85252658,Finance Intern,Hermès,2025-06-30T01:56:20Z,"Causeway Bay, Wan Chai District",,Intern will acquire valuable practical experience and learn about the various strategies used to in the retail sector.
84306227,Requirements Analyst,Checkpoint Systems,2025-06-30T03:21:59Z,"Lai Chi Kok, Sham Shui Po District",,Work with the business partners to evaluate and document new customer requests / new products for changes inside systems / projects.
84965397,GIS Analyst / Senior GIS Analyst,Esri,2025-06-17T02:03:27Z,"Lai Chi Kok, Sham Shui Po District",,"Professional sales and technical marketing of Geographic Information System (GIS) software; and
Business development and customer account management."
84779947,Data analyst - Private Banking (6 months),Robert Walters,2025-06-09T05:42:53Z,Central and Western District,,My client is a reputable MNC bank and they are looking for a data analyst to join their data team.
84242702,Assistant Market Analysis Manager,Hong Kong Telecom,2025-07-02T09:57:00Z,"Quarry Bay, Eastern District",,Join our dynamic team as Assistant Market Analysis Manager and drive impactful insights with cutting-edge tools and innovative research methodologies
85199523,AI Solutions Developer,Glass Label Limited,2025-06-26T08:04:23Z,Kwun Tong District,,Own end-to-end AI tool development: Turn business concepts into deployed solutions that optimize operations and products
85229128,(Senior) IT Business Analyst | CRM | Loyalty Program | Customer-related,Vita Green,2025-06-27T09:47:11Z,"Tsim Sha Tsui, Yau Tsim Mong District",,We are seeking a motivated (Senior) IT Business Analyst to join our team! You will be playing an integral part in IT Business Analyst team.
85107766,Senior Data Analyst (18-month Contract),Cathay Pacific Airways,2025-06-23T09:59:04Z,"Tung Chung, Islands District",,Operations Planning (OPN) spearheads integrated and digital operations
85423552,"AVP, Data Management Office",Charterhouse,2025-07-03T03:33:12Z,Central and Western District,Negotiable,"Our client, a renowned regional bank, is looking for an AVP- Data Management Office under the governance team and primarily focus on data governance."
85268919,Business Analyst,Robert Half,2025-06-30T09:55:41Z,Central and Western District,,Our client is looking for Business Analyst to join a dynamic team at their financial institution Company.
